1545,000	-71,260	1,000
1545,010	-71,290	0,000
1545,030	-71,160	0,000
1545,040	-71,270	0,000
1545,050	-71,460	0,000
1545,060	-71,190	0,000
1545,080	-70,900	0,000
1545,090	-71,060	0,000
1545,100	-70,950	0,000
1545,110	-70,920	0,000
1545,130	-71,320	0,000
1545,140	-71,060	0,000
1545,150	-71,380	0,000
1545,160	-71,180	0,000
1545,180	-71,000	0,000
1545,190	-70,800	0,000
1545,200	-71,070	0,000
1545,210	-70,970	0,000
1545,230	-71,330	0,000
1545,240	-71,540	0,000
1545,250	-71,240	0,000
1545,260	-70,990	0,000
1545,280	-71,140	0,000
1545,290	-71,230	0,000
1545,300	-70,950	0,000
1545,310	-71,280	0,000
1545,330	-71,100	0,000
1545,340	-71,350	0,000
1545,350	-70,980	0,000
1545,360	-71,010	0,000
1545,380	-70,920	0,000
1545,390	-71,010	0,000
1545,400	-71,250	0,000
1545,410	-70,900	0,000
1545,430	-70,820	0,000
1545,440	-70,770	0,000
1545,450	-71,140	0,000
1545,460	-71,010	0,000
1545,480	-70,810	0,000
1545,490	-70,750	0,000
1545,500	-70,940	0,000
1545,510	-70,850	0,000
1545,530	-71,180	0,000
1545,540	-71,100	0,000
1545,550	-70,950	0,000
1545,560	-71,070	0,000
1545,580	-71,190	0,000
1545,590	-70,770	0,000
1545,600	-70,750	0,000
1545,610	-70,790	0,000
1545,630	-70,820	0,000
1545,640	-71,060	0,000
1545,650	-70,930	0,000
1545,660	-70,910	0,000
1545,680	-70,950	0,000
1545,690	-71,280	0,000
1545,700	-71,150	0,000
1545,710	-70,790	0,000
1545,730	-70,840	0,000
1545,740	-70,850	0,000
1545,750	-70,980	0,000
1545,760	-71,010	0,000
1545,780	-70,940	0,000
1545,790	-70,880	0,000
1545,800	-71,040	0,000
1545,810	-70,860	0,000
1545,830	-70,740	0,000
1545,840	-71,020	0,000
1545,850	-70,770	0,000
1545,860	-70,790	0,000
1545,880	-70,880	0,000
1545,890	-70,600	0,000
1545,900	-70,940	0,000
1545,910	-71,000	0,000
1545,930	-70,890	0,000
1545,940	-70,750	0,000
1545,950	-70,710	0,000
1545,960	-70,840	0,000
1545,980	-70,880	0,000
1545,990	-70,900	0,000
1546,000	-70,850	0,000
1546,010	-70,800	0,000
1546,030	-70,910	0,000
1546,040	-70,840	0,000
1546,050	-70,870	0,000
1546,060	-70,820	0,000
1546,080	-70,700	0,000
1546,090	-70,660	0,000
1546,100	-70,610	0,000
1546,110	-70,690	0,000
1546,130	-70,510	0,000
1546,140	-70,890	0,000
1546,150	-70,830	0,000
1546,160	-70,780	0,000
1546,180	-70,840	0,000
1546,190	-70,630	0,000
1546,200	-70,550	0,000
1546,210	-70,410	0,000
1546,230	-70,540	0,000
1546,240	-70,460	0,000
1546,250	-70,720	0,000
1546,260	-70,600	0,000
1546,280	-70,760	0,000
1546,290	-70,690	0,000
1546,300	-70,610	0,000
1546,310	-70,680	0,000
1546,330	-70,750	0,000
1546,340	-71,010	0,000
1546,350	-70,800	0,000
1546,360	-70,890	0,000
1546,380	-70,880	0,000
